"코드
 번호",회사명,주가,시가총액,"총자산
 (억)","매출액
 (억)"
A104700,한국철강,"36,750","3,385","9,931","7,213"
A004130,대덕GDS,22750,4680.95,5745,4843.63
A152330,코리아오토글라스,"17,200","3,440","4,805","4,850"
A060280,큐렉소,"10,300","3,436",806,332
A035600,KG이니시스,"21,250","5,925","7,696","9,620"
A019210,와이지-원,"18,600","5,597","7,596","3,680"
A084690,대상홀딩스,"10,150","3,676","22,307","33,820"
A049960,쎌바이오텍,"47,650","4,479",954,627
A002990,금호산업,"9,840","3,528","12,075","13,136"
A082270,젬백스,"15,800","4,860","1,574",636
A001630,종근당홀딩스,"78,600","3,938","5,747","4,321"
A002320,한진,"27,550","3,299","21,850","17,923"
A087010,펩트론,"81,300","6,031",547,26
A035810,이지바이오,"7,790","4,377","12,970","14,363"
A036540,SFA반도체,"2,675","3,774","6,310","4,601"
A000480,조선내화,"86,700","3,468","9,288","7,276"
A078150,HB테크놀러지,"3,785","2,990","2,220","3,299"
A086980,쇼박스,"5,660","3,543","1,940","1,155"
A003850,보령제약,"59,900","5,295","4,263","4,266"
A054950,제이브이엠,"61,100","3,868","1,750","1,076"
A007690,국도화학,"63,000","3,661","7,776","10,760"
A214420,토니모리,"21,000","3,704","1,928","2,158"
A036630,세종텔레콤,664,"3,986","4,116","1,638"
A215360,우리산업,"38,500","3,516","2,062","2,752"
A044820,코스맥스비티아이,"36,500","3,505","6,761","2,805"
A122900,아이마켓코리아,"10,300","3,702","10,380","34,324"
A001500,현대차투자증권,"12,400","3,638","79,022","2,913"
A006380,카프로,"10,650","4,260","4,484","5,197"
A003220,대원제약,"22,750","4,141","2,299","2,583"
A013030,하이록코리아,"25,400","3,458","3,768","1,928"
A007390,네이처셀,"31,800","16,801",562,289
A241710,코스메카코리아,"67,500","3,605","1,443","1,824"
A038500,삼표시멘트,"3,400","3,650","13,008","6,917"
A002250,알보젠코리아,"27,950","3,314","3,254","1,869"
A095570,AJ네트웍스,"7,830","3,666","20,981","13,952"
A030610,교보증권,"11,800","4,248","63,283","4,884"
A024660,하림홀딩스,"3,940","3,513","10,450","10,573"
A100130,동국S&C,6200,3542.87,4191,3956.36
A108790,인터파크,"9,710","3,216","4,628","4,885"
A019170,신풍제약,"9,140","4,843","3,994","1,882"
A123100,테라세미콘,"27,450","3,103","2,089","3,858"
A099190,아이센스,"28,750","3,949","2,328","1,507"
A228850,레이언스,"21,800","3,617","1,928","1,085"
A122990,와이솔,"14,500","3,494","3,541","4,490"
A174900,앱클론,"75,500","5,134",213,34
A057500,SKC 솔믹스,"5,300","3,259","1,548","1,237"
A002390,한독,"37,450","4,716","6,759","4,277"
A002000,한국유리,"34,850","3,513","7,268","3,447"
A060250,NHN한국사이버결제,"19,700","4,233","1,956","3,339"
A003060,에이프로젠제약,"4,570","3,868","1,686",459
A200880,서연이화,"10,550","2,852","17,977","22,098"
A074600,원익QnC,"15,200","3,996","2,504","1,813"
A092230,KPX홀딩스,"66,900","2,826","7,682","10,082"
A200670,휴메딕스,"46,350","4,333","1,240",544
A141080,레고켐바이오,"66,500","6,620",863,208
A009680,모토닉,"10,250","3,383","4,331","2,146"
A067290,JW신약,"10,000","4,064","1,322",788
A195870,해성디에스,"18,950","3,222","2,989","3,251"
A255440,야스,"27,500","3,556","1,368",731
A006390,현대시멘트,"16,200","2,715","5,145","3,650"
A001940,KISCO홀딩스,"71,300","2,635","10,486","11,767"
A011930,신성이엔지,"1,955","3,382","6,791","8,200"
A089030,테크윙,"18,900","3,478","3,426","2,228"
A095340,ISC,"19,150","2,656","1,977","1,095"
A234080,JW생명과학,"58,400","4,624","1,974","1,392"
A214390,경보제약,"15,350","3,670","2,109","1,870"
A011760,현대상사,"20,500","2,712","13,740","40,609"
A002810,삼영무역,"19,000","3,129","3,580","2,542"
A000250,삼천당제약,"36,700","8,113","1,711","1,654"
A002780,진흥기업,"2,165","3,147","3,267","5,949"
A136480,하림,"3,665","3,187","5,466","8,801"
A268280,미원에스씨,"59,400","3,076","2,185","1,339"
A215000,골프존,"51,600","3,238","2,471","2,086"
A001780,알루코,"4,550","3,391","5,133","4,711"
A001270,부국증권,"25,150","2,608","40,649","1,293"
